method,stage,window_id,candidate,latency_ms,sla_violation,reward
rule_based,processor,9,1,18.0,0,-18.0
rule_based,processor,10,1,19.125,0,-19.125
rule_based,processor,11,1,17.49374999999918,0,-17.49374999999918
rule_based,processor,12,1,19.125,0,-19.125
rule_based,processor,13,1,19.125,0,-19.125
rule_based,processor,14,1,18.0,0,-18.0
rule_based,processor,15,1,18.0,0,-18.0
rule_based,processor,16,1,18.0,0,-18.0
rule_based,processor,17,1,19.125,0,-19.125
rule_based,processor,18,1,19.125,0,-19.125
rule_based,processor,19,1,18.0,0,-18.0
rule_based,processor,20,1,19.125,0,-19.125
rule_based,processor,21,1,18.0,0,-18.0
rule_based,processor,22,1,18.0,0,-18.0
rule_based,processor,23,1,18.0,0,-18.0
rule_based,processor,24,1,18.0,0,-18.0
rule_based,processor,25,1,19.068749999999795,0,-19.068749999999795
rule_based,processor,26,1,19.125,0,-19.125
rule_based,processor,27,1,19.125,0,-19.125
rule_based,processor,28,1,18.0,0,-18.0
rule_based,processor,29,1,16.875,0,-16.875
rule_based,routing,0,2,308.40409734100444,0,-308.40409734100444
rule_based,routing,1,2,319.1256025501478,0,-319.1256025501478
rule_based,routing,2,2,333.2243819001711,0,-333.2243819001711
rule_based,routing,3,2,345.7685429948687,0,-345.7685429948687
rule_based,routing,4,2,341.8551935935312,0,-341.8551935935312
rule_based,routing,5,2,344.3747473176799,0,-344.3747473176799
rule_based,routing,6,2,354.774607370549,0,-354.774607370549
rule_based,routing,7,2,353.00555901104013,0,-353.00555901104013
rule_based,routing,8,2,357.56219872492625,0,-357.56219872492625
rule_based,routing,9,2,363.45902658995504,0,-363.45902658995504
rule_based,routing,10,2,339.87171512983997,0,-339.87171512983997
rule_based,routing,11,2,364.8528222671436,0,-364.8528222671436
rule_based,routing,12,2,334.5109625252683,0,-334.5109625252683
rule_based,routing,13,2,337.7274140880113,0,-337.7274140880113
rule_based,routing,14,2,329.79350023324525,0,-329.79350023324525
rule_based,routing,15,2,345.71493546882294,0,-345.71493546882294
rule_based,routing,16,2,345.1252526823201,0,-345.1252526823201
rule_based,routing,17,2,355.8467578914632,0,-355.8467578914632
rule_based,routing,18,2,345.23246773441156,0,-345.23246773441156
rule_based,routing,19,2,334.5109625252683,0,-334.5109625252683
rule_based,routing,20,2,332.473876535531,0,-332.473876535531
rule_based,routing,21,2,345.23246773441156,0,-345.23246773441156
rule_based,routing,22,2,347.3767687762402,0,-347.3767687762402
rule_based,routing,23,2,343.40981184885715,0,-343.40981184885715
rule_based,routing,24,2,351.93340849012606,0,-351.93340849012606
rule_based,routing,25,2,337.83462914010266,0,-337.83462914010266
rule_based,routing,26,2,335.36868294199974,0,-335.36868294199974
rule_based,routing,27,2,346.19740320323444,0,-346.19740320323444
rule_based,routing,28,2,347.0551236199657,0,-347.0551236199657
rule_based,routing,29,2,338.63874203078836,0,-338.63874203078836
epsilon_greedy_bandit,auth,0,0,295.79598942549495,0,-295.79598942549495
epsilon_greedy_bandit,auth,1,1,315.0,0,-315.0
epsilon_greedy_bandit,auth,2,2,331.1589562990236,0,-331.1589562990236
epsilon_greedy_bandit,auth,3,0,311.87536269263,0,-311.87536269263
epsilon_greedy_bandit,auth,4,0,315.13959636340195,0,-315.13959636340195
epsilon_greedy_bandit,auth,5,0,307.88574376168685,0,-307.88574376168685
epsilon_greedy_bandit,auth,6,0,309.6589077309948,0,-309.6589077309948
epsilon_greedy_bandit,auth,7,0,337.7071377909602,0,-337.7071377909602
epsilon_greedy_bandit,auth,8,0,328.59952285769543,0,-328.59952285769543
epsilon_greedy_bandit,auth,9,1,327.0499999999997,0,-327.0499999999997
epsilon_greedy_bandit,auth,10,0,313.12463730737,0,-313.12463730737
epsilon_greedy_bandit,auth,11,0,317.55754723064035,0,-317.55754723064035
epsilon_greedy_bandit,auth,12,0,301.1154813334193,0,-301.1154813334193
epsilon_greedy_bandit,auth,13,0,325.53678509252705,0,-325.53678509252705
epsilon_greedy_bandit,auth,14,0,318.36353085305313,0,-318.36353085305313
epsilon_greedy_bandit,auth,15,0,306.43497324134364,0,-306.43497324134364
epsilon_greedy_bandit,auth,16,0,303.9364240118637,0,-303.9364240118637
epsilon_greedy_bandit,auth,17,0,308.69172738409964,0,-308.69172738409964
epsilon_greedy_bandit,auth,18,0,329.64730156683225,0,-329.64730156683225
epsilon_greedy_bandit,auth,19,0,321.0232768070155,0,-321.0232768070155
epsilon_greedy_bandit,auth,20,0,311.4320717003028,0,-311.4320717003028
epsilon_greedy_bandit,auth,21,0,314.776903733316,0,-314.776903733316
epsilon_greedy_bandit,auth,22,0,334.483203301309,0,-334.483203301309
epsilon_greedy_bandit,auth,23,0,307.2409568637564,0,-307.2409568637564
epsilon_greedy_bandit,auth,24,0,332.0652524340706,0,-332.0652524340706
epsilon_greedy_bandit,auth,25,0,313.9306209297828,0,-313.9306209297828
epsilon_greedy_bandit,auth,26,0,307.079760139274,0,-307.079760139274
epsilon_greedy_bandit,auth,27,0,315.9455799858148,0,-315.9455799858148
epsilon_greedy_bandit,auth,28,0,316.75156360822757,0,-316.75156360822757
epsilon_greedy_bandit,auth,29,1,310.70000000000005,0,-310.70000000000005
epsilon_greedy_bandit,db,0,0,1.0,0,-1.0
epsilon_greedy_bandit,db,1,1,1.0,0,-1.0
epsilon_greedy_bandit,db,2,2,1.0,0,-1.0
epsilon_greedy_bandit,db,3,0,1.0,0,-1.0
epsilon_greedy_bandit,db,4,0,1.0,0,-1.0
epsilon_greedy_bandit,db,5,0,1.0,0,-1.0
epsilon_greedy_bandit,db,6,0,1.0,0,-1.0
epsilon_greedy_bandit,db,7,0,1.0,0,-1.0
epsilon_greedy_bandit,db,8,0,1.0,0,-1.0
epsilon_greedy_bandit,db,9,0,1.0,0,-1.0
epsilon_greedy_bandit,db,10,0,1.0,0,-1.0
epsilon_greedy_bandit,db,11,0,1.0,0,-1.0
epsilon_greedy_bandit,db,12,0,1.0,0,-1.0
epsilon_greedy_bandit,db,13,0,1.0,0,-1.0
epsilon_greedy_bandit,db,14,0,1.0,0,-1.0
epsilon_greedy_bandit,db,15,0,1.0,0,-1.0
epsilon_greedy_bandit,db,16,0,1.0,0,-1.0
epsilon_greedy_bandit,db,17,0,1.0,0,-1.0
epsilon_greedy_bandit,db,18,0,1.0,0,-1.0
epsilon_greedy_bandit,db,19,0,1.0,0,-1.0
epsilon_greedy_bandit,db,20,0,1.0,0,-1.0
epsilon_greedy_bandit,db,21,0,1.0,0,-1.0
epsilon_greedy_bandit,db,22,0,1.0,0,-1.0
epsilon_greedy_bandit,db,23,0,1.0,0,-1.0
epsilon_greedy_bandit,db,24,0,1.0,0,-1.0
epsilon_greedy_bandit,db,25,0,1.0,0,-1.0
epsilon_greedy_bandit,db,26,0,1.0,0,-1.0
epsilon_greedy_bandit,db,27,0,1.0,0,-1.0
epsilon_greedy_bandit,db,28,0,1.0,0,-1.0
epsilon_greedy_bandit,db,29,1,1.0,0,-1.0
epsilon_greedy_bandit,ingress,0,0,71.63817841547096,0,-71.63817841547096
epsilon_greedy_bandit,ingress,1,1,76.0,0,-76.0
epsilon_greedy_bandit,ingress,2,2,70.72832369942205,0,-70.72832369942205
epsilon_greedy_bandit,ingress,3,2,70.66556564822432,0,-70.66556564822432
epsilon_greedy_bandit,ingress,4,2,59.62014863748972,0,-59.62014863748972
epsilon_greedy_bandit,ingress,5,2,111.70933113129652,0,-111.70933113129652
epsilon_greedy_bandit,ingress,6,0,75.85776668746104,0,-75.85776668746104
epsilon_greedy_bandit,ingress,7,0,96.33936369307543,0,-96.33936369307543
epsilon_greedy_bandit,ingress,8,0,75.85776668746104,0,-75.85776668746104
epsilon_greedy_bandit,ingress,9,1,76.0,0,-76.0
epsilon_greedy_bandit,ingress,10,1,76.0,0,-76.0
epsilon_greedy_bandit,ingress,11,0,74.90954460386777,0,-74.90954460386777
epsilon_greedy_bandit,ingress,12,1,80.0,0,-80.0
