method,average_latency_ms,p95_latency_ms,sla_violation_rate,average_reward,windows_evaluated
rule_based,151.87137219363194,347.2320284559167,0.0,-151.87137219363194,150
epsilon_greedy_bandit,150.81660515852477,349.7776041666665,0.0,-150.81660515852477,150
